130	136	17680	18
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"CaO WT%"	"TiO2 WT%"	"K2O WT%"	"P2O5 WT%"	"FeO WT%"	"MnO WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-20.352	5.229	33	3	293	 66.5281	 11.9965	 3.55120	 1.26265	 4.57999	 5.04307	 4.25812	 .156484	 .771063	 .926397	 .000000	 99.0736
0	-20.3515	5.229	34	3	294	 66.6626	 12.8224	 3.50810	 1.59060	 4.39999	 5.12388	 4.31147	 .024917	 1.03502	 .826051	 .000000	 100.305
0	-20.351	5.229	35	3	295	 66.6371	 12.9839	 3.82744	 1.46835	 4.61562	 3.22745	 4.50292	 .231060	 1.03793	 .861680	 .000000	 99.3934
0	-20.3505	5.229	36	3	296	 67.9381	 13.3544	 2.30144	 1.25895	 4.61646	 1.65790	 5.01762	 .080883	 .788506	 .791206	 .000000	 97.8054
0	-20.35	5.229	37	3	297	 71.1055	 13.9165	 2.11901	 1.67439	 4.82446	 .923110	 5.26534	 .024460	 1.21934	 .680671	 .000000	 101.753
0	-20.3495	5.229	38	3	298	 69.1113	 13.8350	 2.09900	 1.82457	 4.68877	 .391088	 4.77021	 .081161	 1.05087	 .962093	 .000000	 98.8140
0	-20.349	5.229	39	3	299	 68.5018	 13.6347	 1.53524	 1.52344	 4.45749	 .842428	 5.40489	 .118351	 1.28723	 .716596	 .000000	 98.0221
0	-20.3485	5.229	40	3	300	 69.4579	 13.1762	 1.99692	 1.52371	 4.43091	 .678186	 5.38762	 .136964	 1.15633	 .590849	 .000000	 98.5356
0	-20.348	5.229	41	3	301	 69.2607	 13.8373	 1.89598	 1.61299	 4.30821	 .555562	 5.42341	 .080760	 1.13820	 .840721	 .000000	 98.9538
0	-20.3475	5.229	42	3	302	 68.9216	 14.1331	 1.99895	 1.34813	 4.43373	 .473893	 5.05337	 .118762	 .985911	 .701344	 .000000	 98.1688
